,WSUDAN,NSUDAN,KRT,ESUDAN,CSUDAN,,
2030-01-12 02:00:00,0.6633,0.500090909,0.594909091,0.481307692,0.573416667,,
2030-01-12 03:00:00,0.6508,0.468,0.545818182,0.475307692,0.530472222,,
2030-01-12 04:00:00,0.6221,0.426090909,0.472727273,0.446615385,0.449888889,,
2030-01-12 05:00:00,0.4275,0.250045455,0.246818182,0.422153846,0.276472222,,
2030-01-12 06:00:00,0.5745,0.363909091,0.467181818,0.517307692,0.463222222,,
2030-01-12 07:00:00,0.8223,0.510363636,0.744272727,0.471692308,0.543694444,,
2030-01-12 08:00:00,0.7622,0.416272727,0.633363636,0.380692308,0.476527778,,
2030-01-12 09:00:00,0.638,0.3025,0.482545455,0.311153846,0.347694444,,
2030-01-12 10:00:00,0.4936,0.232318182,0.372363636,0.278615385,0.254944444,,
2030-01-12 11:00:00,0.3759,0.212590909,0.333454545,0.279153846,0.214333333,,
2030-01-12 12:00:00,0.3113,0.232318182,0.358818182,0.298153846,0.219888889,,
2030-01-12 13:00:00,0.296,0.263772727,0.419727273,0.337615385,0.258611111,,
2030-01-12 14:00:00,0.311,0.279590909,0.456090909,0.398153846,0.308722222,,
2030-01-12 15:00:00,0.4184,0.371636364,0.552454545,0.475538462,0.453,,
2030-01-12 16:00:00,0.5687,0.487227273,0.618909091,0.497923077,0.607305556,,
2030-01-12 17:00:00,0.653,0.567409091,0.627909091,0.488692308,0.687111111,,
2030-01-12 18:00:00,0.6818,0.602590909,0.622909091,0.479923077,0.713111111,,
2030-01-12 19:00:00,0.6798,0.604954545,0.622090909,0.472923077,0.706972222,,
2030-01-12 20:00:00,0.6677,0.593,0.623272727,0.464692308,0.685472222,,
2030-01-12 21:00:00,0.6532,0.577318182,0.625545455,0.446461538,0.65375,,
2030-01-12 22:00:00,0.6458,0.554409091,0.627909091,0.431,0.629527778,,
2030-01-12 23:00:00,0.6494,0.534181818,0.627363636,0.418076923,0.601277778,,
2030-01-13 00:00:00,0.6537,0.510363636,0.613454545,0.410076923,0.565222222,,
2030-01-13 01:00:00,0.6529,0.480318182,0.576818182,0.400692308,0.521472222,,
2030-01-13 02:00:00,0.6437,0.443454545,0.529090909,0.385615385,0.476555556,,
2030-01-13 03:00:00,0.6302,0.418409091,0.480818182,0.364769231,0.434055556,,
2030-01-13 04:00:00,0.6014,0.413,0.418818182,0.327,0.369222222,,
2030-01-13 05:00:00,0.3854,0.266181818,0.218454545,0.245384615,0.227388889,,
2030-01-13 06:00:00,0.2873,0.327318182,0.294818182,0.272461538,0.258777778,,
2030-01-13 07:00:00,0.6428,0.494090909,0.464636364,0.262153846,0.331861111,,
2030-01-13 08:00:00,0.5586,0.502681818,0.474727273,0.233307692,0.295083333,,
2030-01-13 09:00:00,0.3758,0.429590909,0.404545455,0.197153846,0.198222222,,
2030-01-13 10:00:00,0.2461,0.368318182,0.339,0.171769231,0.131916667,,
2030-01-13 11:00:00,0.1739,0.344227273,0.308272727,0.166076923,0.102166667,,
2030-01-13 12:00:00,0.1465,0.350363636,0.314545455,0.174384615,0.101333333,,
2030-01-13 13:00:00,0.1561,0.375818182,0.349454545,0.193153846,0.122527778,,
2030-01-13 14:00:00,0.1986,0.3975,0.384454545,0.225461538,0.1595,,
2030-01-13 15:00:00,0.3327,0.492772727,0.512545455,0.290461538,0.270444444,,
2030-01-13 16:00:00,0.5018,0.611045455,0.638181818,0.376384615,0.407583333,,
2030-01-13 17:00:00,0.6128,0.687227273,0.719181818,0.441076923,0.515555556,,
2030-01-13 18:00:00,0.6657,0.717227273,0.761,0.463076923,0.585583333,,
2030-01-13 19:00:00,0.6813,0.717409091,0.772,0.470307692,0.626527778,,
2030-01-13 20:00:00,0.6862,0.705909091,0.761272727,0.476,0.643333333,,
2030-01-13 21:00:00,0.6832,0.6855,0.740272727,0.472230769,0.647972222,,
2030-01-13 22:00:00,0.6758,0.656954545,0.718090909,0.451846154,0.638027778,,
2030-01-13 23:00:00,0.6684,0.621772727,0.686181818,0.430615385,0.618416667,,
2030-01-14 00:00:00,0.6633,0.579863636,0.639818182,0.412230769,0.583888889,,
2030-01-14 01:00:00,0.6574,0.536772727,0.581363636,0.394538462,0.529361111,,
2030-01-14 02:00:00,0.6616,0.495545455,0.515181818,0.376461538,0.468111111,,
2030-01-14 03:00:00,0.6578,0.4585,0.448727273,0.364846154,0.40275,,
2030-01-14 04:00:00,0.6295,0.414590909,0.370545455,0.333692308,0.317333333,,
2030-01-14 05:00:00,0.4217,0.255181818,0.213818182,0.289846154,0.201111111,,
2030-01-14 06:00:00,0.2743,0.318227273,0.272,0.335615385,0.223305556,,
